iter	RMSE
290	1.487819748
291	1.487163027
292	1.486223267
293	1.486139336
294	1.485998386
295	1.48578531
296	1.485061232
297	1.484894495
298	1.484063638
299	1.483908307
300	1.481995623
301	1.481314914
302	1.480628644
303	1.480312551
304	1.479813831
305	1.479370113
306	1.478976974
307	1.477972329
308	1.477802412
309	1.477537698
310	1.475895482
311	1.475400478
312	1.475195366
313	1.474906917
314	1.474482923
315	1.474245594
316	1.474099593
317	1.474064701
318	1.473888935
319	1.473841405
320	1.473165012
321	1.472598663
322	1.472217718
323	1.472025522
324	1.471922097
325	1.471633821
326	1.471492344
327	1.471128428
328	1.470825224
329	1.470430908
330	1.470227755
331	1.470143261
332	1.469774449
333	1.468760994
334	1.468615422
335	1.468122397
336	1.467970436
337	1.467597178
338	1.467436792
339	1.467279748
340	1.465819608
341	1.465701978
342	1.46458919
343	1.464435503
344	1.464024492
345	1.463631611
346	1.462907641
347	1.461840072
348	1.461624633
349	1.460598984
350	1.460044901
351	1.459750488
352	1.459379357
353	1.459166931
354	1.458703789
355	1.458543185
356	1.458189206
357	1.458010358
358	1.457980097
359	1.457872155
360	1.457648592
361	1.457570991
362	1.457547752
363	1.457348691
364	1.457242835
365	1.45695171
366	1.456427458
367	1.456216838
368	1.456115453
369	1.455620664
370	1.455380166
371	1.455148767
372	1.455054182
373	1.454323502
374	1.454203948
375	1.454029858
376	1.453778316
377	1.453734422
378	1.453439391
379	1.453411894
380	1.453330434
381	1.453288854
382	1.453259413
383	1.453099267
384	1.452894296
385	1.451692019
386	1.451565901
387	1.451018461
388	1.450873576
389	1.450410963
390	1.449996263
391	1.449865434
392	1.449676058
393	1.449370832
394	1.449021084
395	1.448751261
396	1.447974843
397	1.447798565
398	1.447665334
399	1.446083364
400	1.446013529
401	1.445846496
402	1.44567653
403	1.445466295
404	1.44506378
405	1.444941765
406	1.444914884
407	1.44440309
408	1.443819886
409	1.443683462
410	1.443378632
411	1.441669887
412	1.441048873
413	1.44080168
414	1.438039657
415	1.437820613
416	1.437747057
417	1.437551145
418	1.437209996
419	1.436967905
420	1.43665798
421	1.435882328
422	1.435416255
423	1.435075096
424	1.435006039
425	1.434246428
426	1.43421707
427	1.433407067
428	1.433150921
429	1.433026798
430	1.432753498
431	1.431833091
432	1.431489739
433	1.43093132
434	1.430515661
435	1.430057767
436	1.42987349
437	1.429359659
438	1.429138132
439	1.428957106
440	1.428916094
441	1.42859807
442	1.428415633
443	1.427873498
444	1.427576552
445	1.427122889
446	1.427063518
447	1.426174412
448	1.426053531
449	1.425926532
450	1.425810199
451	1.425724167
452	1.425525544
453	1.425336671
454	1.42505475
455	1.425032924
456	1.424780791
457	1.424602056
458	1.424462342
459	1.424259145
460	1.423062578
461	1.422933081
462	1.422804592
463	1.422510201
464	1.422062117
465	1.420870777
466	1.420380102
467	1.42023558
468	1.420120602
469	1.419946946
470	1.417717229
471	1.41690557
472	1.416840413
473	1.416540504
474	1.416132839
475	1.41590145
476	1.415496147
477	1.415392546
478	1.415097395
479	1.415026878
480	1.414265196
481	1.413464844
482	1.41333688
483	1.413183439
484	1.413103076
485	1.412740951
486	1.412099779
487	1.412071139
488	1.412047577
489	1.411899995
490	1.411750695
491	1.411652288
492	1.4114255
493	1.411222206
494	1.411087623
495	1.411004838
496	1.410970053
497	1.410785663
498	1.410537239
499	1.41035696
500	1.410205478
501	1.410059084
502	1.409877362
503	1.409841941
504	1.409818309
505	1.409515582
506	1.409391118
507	1.409368877
508	1.409117681
509	1.409005484
510	1.408865728
511	1.408543792
512	1.408444028
513	1.408328381
514	1.408094538
515	1.40791028
516	1.40787837
517	1.407742293
518	1.407537497
519	1.407179189
520	1.406728529
521	1.406660431
522	1.406273682
523	1.405782859
524	1.405657936
525	1.405497993
526	1.405384794
527	1.405182355
528	1.405062993
529	1.404990996
530	1.404874785
531	1.404504166
532	1.404202891
533	1.403710987
534	1.40331639
535	1.403296789
536	1.403140405
537	1.403047061
538	1.402957216
539	1.402942028
540	1.402843754
541	1.4025109
542	1.402441308
543	1.40234526
544	1.402120971
545	1.40200802
546	1.401967326
547	1.401896572
548	1.401846601
549	1.401769182
550	1.401698434
551	1.401612017
552	1.401233897
553	1.401148338
554	1.401045208
555	1.400551346
556	1.400478925
557	1.400346396
558	1.400290058
559	1.400213486
560	1.400166586
561	1.399362408
562	1.399242887
563	1.399196545
564	1.399073575
565	1.399055127
566	1.398817131
567	1.398541998
568	1.398512271
569	1.398405298
570	1.398397208
571	1.398260131
572	1.397997513
573	1.397668024
574	1.397616882
575	1.397534935
576	1.397409145
577	1.396997689
578	1.396869747
579	1.396790966
580	1.396715585
581	1.396551546
582	1.39603585
583	1.395837252
584	1.395706007
585	1.395072808
586	1.394699797
587	1.394576789
588	1.394471181
589	1.394017608
590	1.39369427
591	1.393621319
592	1.393373157
593	1.393267837
594	1.393154497
595	1.393107176
596	1.392937183
597	1.392865281
598	1.392793805
599	1.392297767
600	1.391962125
601	1.391907054
602	1.391898851
603	1.391818701
604	1.391742771
605	1.391642255
606	1.391530863
607	1.391374841
608	1.391166946
609	1.391007373
610	1.390844612
611	1.390747269
612	1.390555658
613	1.390408003
614	1.390272766
615	1.390228836
616	1.390156637
617	1.389153052
618	1.388158556
619	1.387976833
620	1.387736955
621	1.387510956
622	1.387300082
623	1.38707941
624	1.386919061
625	1.386855129
626	1.386705732
627	1.386526311
628	1.386430253
629	1.38634477
630	1.386170578
631	1.386113439
632	1.386006099
633	1.385823573
634	1.385792747
635	1.384668351
636	1.384604081
637	1.384569017
638	1.38451766
639	1.384052389
640	1.383978156
641	1.383776505
642	1.383738801
643	1.383648293
644	1.383439853
645	1.38333859
646	1.383134872
647	1.382377795
648	1.382333463
649	1.382229207
650	1.381726574
651	1.381667125
652	1.38139602
653	1.381381453
654	1.381145343
655	1.381091359
656	1.381036575
657	1.380879088
658	1.38071202
659	1.380602927
660	1.380387113
661	1.380250788
662	1.380245764
663	1.380187242
664	1.379912839
665	1.379839098
666	1.379733497
667	1.379540726
668	1.378932105
669	1.378889864
670	1.378783026
671	1.378417738
672	1.378294071
673	1.37827717
674	1.378105166
675	1.377930359
676	1.377654369
677	1.37762215
678	1.376625907
679	1.376467078
680	1.376152519
681	1.376085453
682	1.375830084
683	1.375700316
684	1.375649877
685	1.375579085
686	1.374857401
687	1.374685357
688	1.374506804
689	1.374411624
690	1.374388424
691	1.374332378
692	1.374080353
693	1.374011514
694	1.373927967
695	1.373798773
696	1.373750374
697	1.373537022
698	1.373029588
699	1.372816643
700	1.372773204
701	1.372423376
702	1.371750286
703	1.371629852
704	1.371541374
705	1.371505937
706	1.371457559
707	1.371439665
708	1.371344849
709	1.371313465
710	1.371307749
711	1.371143057
712	1.371066011
713	1.371033301
714	1.370670251
715	1.370548039
716	1.370447388
717	1.370237173
718	1.370175604
719	1.369951022
720	1.369654628
721	1.369618089
722	1.369558385
723	1.369498017
724	1.369434768
725	1.369368852
726	1.369210332
727	1.368871134
728	1.368729736
729	1.368438931
730	1.36810122
731	1.368019188
732	1.367753439
733	1.367059599
734	1.366228816
735	1.365383524
736	1.365346207
737	1.365269567
738	1.365196818
739	1.3648646
740	1.364769009
741	1.364685056
742	1.364444925
743	1.36440527
744	1.364332367
745	1.364227608
746	1.364110749
747	1.363969939
748	1.363892393
749	1.363833672
750	1.36376971
751	1.363495871
752	1.363372964
753	1.363342251
754	1.363252581
755	1.362999473
756	1.36292718
757	1.36281049
758	1.362731805
759	1.362699149
760	1.362643689
761	1.362571938
762	1.36256454
763	1.362515884
764	1.362488615
765	1.362443614
766	1.362402269
767	1.362227335
768	1.3622087
769	1.36187133
770	1.361783574
771	1.361689895
772	1.36164162
773	1.361489978
774	1.361429899
775	1.361363363
776	1.361268752
777	1.361235877
778	1.361209785
779	1.36102261
780	1.360956126
781	1.360735129
782	1.360652522
783	1.360536348
784	1.360491334
785	1.360430854
786	1.360255728
787	1.36020091
788	1.360132228
789	1.360044573
790	1.359985799
791	1.35994167
792	1.35989155
793	1.359676373
794	1.359469293
795	1.359371277
796	1.359264137
797	1.359126586
798	1.35902571
799	1.358965619
800	1.358923411
801	1.35885784
802	1.358836054
803	1.358770407
804	1.35868812
805	1.35866442
806	1.358626973
807	1.358598728
808	1.358452839
809	1.358182156
810	1.35764956
811	1.357527351
812	1.357298423
813	1.357214673
814	1.357168498
815	1.357080759
816	1.356994686
817	1.356928739
818	1.356886883
819	1.356806499
820	1.356570299
821	1.355660133
822	1.355556674
823	1.355455344
824	1.355443516
825	1.355412241
826	1.355300112
827	1.355162137
828	1.355148576
829	1.355072909
830	1.354966813
831	1.354906344
832	1.354869862
833	1.354550635
834	1.354419578
835	1.354375677
836	1.354311622
837	1.353580535
838	1.353362658
839	1.353310956
840	1.353190699
841	1.353126123
842	1.353048379
843	1.352974507
844	1.352840606
845	1.352792742
846	1.352724826
847	1.352623113
848	1.352598209
849	1.352568873
850	1.352352282
851	1.351815489
852	1.350006896
853	1.349655572
854	1.349595492
855	1.349437119
856	1.349173859
857	1.348930086
858	1.348791889
859	1.3486504
860	1.348512643
861	1.348382165
862	1.348223522
863	1.347613754
864	1.347249625
865	1.347159448
866	1.347057513
867	1.347041349
868	1.346794915
869	1.346745203
870	1.346625006
871	1.346542018
872	1.346540213
873	1.346498345
874	1.346431389
875	1.346326213
876	1.346157034
877	1.346038426
878	1.345974768
879	1.34595506
880	1.345916321
881	1.345736997
882	1.345662709
883	1.345375807
884	1.345296464
885	1.344834271
886	1.344814309
887	1.343955394
888	1.343924533
889	1.343881242
890	1.343792542
891	1.343734978
892	1.343645218
893	1.343545707
894	1.343462475
895	1.343444141
896	1.343410813
897	1.343210242
898	1.343159243
899	1.343028591
900	1.342926954
901	1.342654079
902	1.342575684
903	1.342466774
904	1.342269958
905	1.342096745
906	1.342069194
907	1.341956056
908	1.341866066
909	1.341436037
910	1.341379672
911	1.341274676
912	1.341256934
913	1.341095969
914	1.341040448
915	1.341017947
916	1.340954176
917	1.340930428
918	1.340788805
919	1.340764709
920	1.340689432
921	1.340622045
922	1.340530535
923	1.339072327
924	1.33884848
925	1.33795066
926	1.337588999
927	1.337372764
928	1.33721057
929	1.336350765
930	1.336321716
931	1.336163226
932	1.336049426
933	1.335909787
934	1.335829102
935	1.335581702
936	1.335363129
937	1.335311912
938	1.3351777
939	1.335142125
940	1.335082352
941	1.335004691
942	1.334930527
943	1.33492325
944	1.334199947
945	1.333933401
946	1.333844104
947	1.333833587
948	1.33366515
949	1.333546639
950	1.333520353
951	1.333464997
952	1.333444812
953	1.333425074
954	1.333386971
955	1.333341135
956	1.333259397
957	1.333189471
958	1.33312157
959	1.333032001
960	1.333017197
961	1.332838515
962	1.33275302
963	1.332663846
964	1.332630307
965	1.33259009
966	1.332483515
967	1.332274909
968	1.332218875
969	1.332143749
970	1.332070467
971	1.331009429
972	1.33090938
973	1.330794188
974	1.330682432
975	1.330513578
976	1.330450247
977	1.330388031
978	1.330367571
979	1.330149469
980	1.328673175
981	1.32863
982	1.32851714
983	1.328387394
984	1.328370136
985	1.328342299
986	1.328278854
987	1.328257229
988	1.328239347
989	1.328161703
990	1.327678955
991	1.327665051
992	1.327353401
993	1.327299872
994	1.326044066
995	1.325976131
996	1.325415571
997	1.325264805
998	1.325244875
999	1.325224066
