iter	Passed	Remaining
140	764670	4658526
141	771329	4660566
142	776582	4654066
143	781799	4647364
144	786017	4634792
145	790991	4626756
146	796673	4622872
147	803050	4622964
148	807316	4610915
149	811732	4599816
150	815867	4587226
151	820055	4575046
152	824258	4563051
153	828865	4553375
154	832946	4540900
155	837859	4533033
156	842155	4521892
157	846481	4510997
158	850261	4497292
159	861048	4520503
160	872565	4547098
161	877206	4537650
162	881259	4525242
163	888850	4530969
164	896677	4537733
165	903820	4540883
166	911024	4544210
167	917160	4542128
168	922137	4534297
169	929464	4537972
170	935795	4536693
171	941151	4530658
172	947413	4528966
173	955787	4537245
174	962747	4538665
175	968202	4532947
176	973731	4527575
177	978848	4520298
178	983456	4510715
179	989555	4507977
180	994688	4500827
181	1000308	4495890
182	1004849	4486133
183	1009810	4478288
184	1014169	4467828
185	1018241	4456174
186	1022462	4445252
187	1032159	4458049
188	1037468	4451781
189	1042443	4444102
190	1047360	4436200
191	1050744	4421882
192	1054576	4409551
193	1060015	4403980
194	1064700	4395303
195	1069530	4387259
196	1074380	4379325
197	1079326	4371818
198	1084953	4367072
199	1093647	4374589
200	1105517	4394568
201	1113900	4400460
202	1121179	4401872
203	1126464	4395419
204	1132448	4391692
205	1138235	4387177
206	1143302	4379896
207	1155168	4398526
208	1161213	4394833
209	1167743	4392939
210	1172588	4384703
211	1176827	4374244
212	1180693	4362468
213	1185795	4355304
214	1193753	4358586
215	1199555	4353943
216	1210510	4367878
217	1217351	4366828
218	1223640	4363757
219	1229894	4360535
220	1234978	4353159
221	1240746	4348201
222	1245632	4340162
223	1250739	4332920
224	1254864	4322311
225	1259139	4312273
226	1263639	4303053
227	1270047	4300336
228	1280902	4312556
229	1285763	4304512
230	1290163	4294960
231	1295677	4289138
232	1302007	4286008
233	1310417	4289656
234	1317324	4288310
235	1330554	4307387
236	1336584	4303011
237	1342296	4297605
238	1349346	4296454
239	1353672	4286629
240	1358435	4278225
241	1363395	4270470
242	1370982	4270920
243	1375531	4261894
244	1381409	4256995
245	1386321	4249132
246	1392939	4246492
247	1401414	4249449
248	1403873	4234172
249	1411419	4234259
250	1418177	4231932
251	1438225	4269019
252	1443227	4261227
253	1449373	4256822
254	1457724	4258842
255	1467300	4264342
256	1477986	4272934
257	1483742	4267198
258	1489873	4262534
259	1496195	4258401
260	1502627	4254566
261	1512757	4261125
262	1534320	4299596
263	1541364	4297138
264	1546578	4289567
265	1551279	4280599
266	1555900	4271442
267	1560055	4261048
268	1565008	4252865
269	1568544	4240878
270	1572952	4231299
271	1577542	4222245
272	1583660	4217292
273	1587679	4206770
274	1592030	4197172
275	1595630	4185640
276	1600513	4177513
277	1605059	4168535
278	1608653	4157128
279	1613188	4148198
280	1617888	4139722
281	1621936	4129611
282	1628004	4124662
283	1632009	4114503
284	1638399	4110369
285	1645515	4108034
286	1652237	4104687
287	1656459	4095135
288	1660868	4086081
289	1666112	4079102
290	1670592	4070274
291	1675000	4061302
292	1679745	4053173
293	1684188	4044343
294	1688640	4035565
295	1692947	4026469
296	1698105	4019422
297	1702800	4011296
298	1709086	4006920
299	1713220	3997514
300	1718321	3990388
301	1724160	3984980
302	1728396	3975882
303	1734204	3970416
304	1741824	3969075
305	1746315	3960597
306	1750401	3951231
307	1754524	3941984
308	1758774	3933051
309	1763218	3924582
310	1769089	3919301
311	1785245	3936696
312	1797188	3944627
313	1812581	3959970
314	1820268	3958361
315	1826490	3953542
316	1832447	3948143
317	1839541	3945179
318	1848808	3946829
319	1856389	3944827
320	1861565	3937703
321	1867562	3932320
322	1873266	3926320
323	1878200	3918715
324	1882853	3910541
325	1887781	3902960
326	1892725	3895425
327	1898218	3889034
328	1902481	3880136
329	1909602	3877072
330	1917096	3874735
331	1922081	3867320
332	1927528	3860845
333	1932391	3853211
334	1937052	3845194
335	1944050	3841813
336	1953512	3843259
337	1957954	3834809
338	1962475	3826538
339	1967618	3819494
340	1975404	3817570
341	1980598	3810624
342	1987612	3807175
343	1991818	3798351
344	1997706	3792746
345	2002278	3784654
346	2007639	3778065
347	2012673	3770870
348	2016965	3762304
349	2022300	3755701
350	2028506	3750714
351	2032768	3742142
352	2041832	3742394
353	2046504	3734581
354	2051740	3727809
355	2056338	3719892
356	2060713	3711593
357	2064965	3703094
358	2074323	3703735
359	2080173	3698087
360	2085178	3690939
361	2090562	3684471
362	2094838	3676067
363	2099043	3667559
364	2103314	3659190
365	2107784	3651190
366	2112881	3644288
367	2118244	3637854
368	2123384	3631045
369	2127363	3622268
370	2131834	3614350
371	2136595	3606941
372	2141606	3599965
373	2146755	3593232
374	2151207	3585346
375	2156166	3578318
376	2164280	3576516
377	2168940	3568998
378	2175321	3564313
379	2179711	3556370
380	2184717	3549448
381	2189107	3541540
382	2195556	3536967
383	2203734	3535157
384	2208657	3528114
385	2213166	3520425
386	2220827	3517745
387	2225697	3510637
388	2230240	3503025
389	2235464	3496496
390	2240000	3488900
391	2245052	3482122
392	2251554	3477591
393	2256061	3469983
394	2260288	3461960
395	2265257	3455089
396	2270918	3449279
397	2275279	3441502
398	2280373	3434848
399	2288556	3432834
400	2293534	3426002
401	2298591	3419298
402	2302717	3411222
403	2308086	3404998
404	2313908	3399445
405	2318252	3391729
406	2322957	3384555
407	2328659	3378839
408	2335111	3374207
409	2339430	3366497
410	2343910	3359034
411	2351567	3356120
412	2366067	3362908
413	2371883	3357303
414	2377762	3351785
415	2382579	3344774
416	2387278	3337609
417	2391790	3330196
418	2396148	3322582
419	2400416	3314861
420	2404623	3307071
421	2410601	3301724
422	2415047	3294285
423	2419359	3286677
424	2423794	3279251
425	2430104	3274366
426	2434986	3267557
427	2453369	3278802
428	2459081	3273043
429	2463330	3265344
430	2469625	3260364
431	2476862	3256614
432	2482160	3250312
433	2488247	3245042
434	2492502	3237388
435	2500843	3235035
436	2505621	3228066
437	2512619	3223954
438	2518125	3217923
439	2522608	3210592
440	2527300	3203540
441	2531772	3196220
442	2537630	3190654
443	2543104	3184608
444	2555786	3187553
445	2563746	3184564
446	2569411	3178712
447	2578792	3177440
448	2583249	3170089
449	2587834	3162908
450	2596820	3161096
451	2601535	3154073
452	2606440	3147291
453	2613960	3143662
454	2618469	3136409
455	2622786	3128938
456	2629126	3123885
457	2633886	3116956
458	2638234	3109552
459	2646272	3106493
460	2651190	3099764
461	2655752	3092629
462	2660064	3085215
463	2667076	3080933
464	2671230	3073351
465	2676736	3067333
466	2685248	3064747
467	2692825	3061075
468	2699793	3056695
469	2704673	3049950
470	2710243	3043988
471	2718363	3040881
472	2723220	3034116
473	2727417	3026627
474	2732965	3020646
475	2737307	3013338
476	2743291	3007843
477	2748238	3001214
478	2752898	2994280
479	2757738	2987550
480	2763726	2982066
481	2769888	2976768
482	2774586	2969899
483	2779148	2962893
484	2783925	2956126
485	2792143	2953007
486	2799079	2948517
487	2804087	2941993
488	2809414	2935809
489	2817951	2932970
490	2822446	2925916
491	2826865	2918796
492	2833652	2914121
493	2837648	2906578
494	2841770	2899179
495	2846291	2892199
496	2850764	2885179
497	2855459	2878395
498	2859625	2871087
499	2863827	2863827
500	2868801	2857348
501	2875095	2852186
502	2884299	2849894
503	2889266	2843405
504	2893791	2836489
505	2902336	2833506
506	2906342	2826088
507	2910905	2819223
508	2915149	2812060
509	2919545	2805053
510	2923724	2797850
511	2928638	2791358
512	2933164	2784504
513	2937443	2777427
514	2944692	2773156
515	2949008	2766124
516	2953418	2759189
517	2961104	2755313
518	2965926	2748767
519	2970107	2741637
520	2977549	2737516
521	2984618	2733041
522	2988819	2725940
523	2992623	2718489
524	2998496	2712925
525	3002796	2705942
526	3008175	2699936
527	3012281	2692796
528	3016905	2686129
529	3022251	2680109
530	3026590	2673203
531	3038722	2673162
532	3044645	2667634
533	3052330	2663644
534	3057736	2657658
535	3062463	2651087
536	3067025	2644381
537	3071299	2637435
538	3076202	2631038
539	3080454	2624090
540	3084759	2617199
541	3088891	2610170
542	3093301	2603386
543	3100161	2598664
544	3108865	2595475
545	3113411	2588807
546	3118142	2582300
547	3122529	2575517
548	3126773	2568624
549	3131997	2562543
550	3136199	2555632
551	3140659	2548941
552	3146954	2543741
553	3156353	2541035
554	3161040	2534528
555	3165768	2528059
556	3170490	2521593
557	3176391	2516066
558	3181791	2510143
559	3188631	2505353
560	3197320	2502002
561	3202955	2496253
562	3207773	2489870
563	3213484	2484182
564	3217701	2477345
565	3222223	2470751
566	3227124	2464453
567	3231310	2457616
568	3236153	2451287
569	3243607	2446932
570	3247985	2440255
571	3252103	2433392
572	3256375	2426653
573	3260868	2420087
574	3265086	2413325
575	3269334	2406593
576	3273087	2399507
577	3277926	2393226
578	3282752	2386941
579	3287931	2380915
580	3297564	2378105
581	3302889	2372178
582	3307659	2365855
583	3312600	2359660
584	3316688	2352864
585	3322811	2347515
586	3326295	2340306
587	3330644	2333717
588	3334957	2327109
589	3339486	2320659
590	3343666	2313975
591	3348957	2308065
592	3353078	2301354
593	3358539	2295567
594	3363154	2289205
595	3368169	2283121
596	3372384	2276500
597	3376750	2269989
598	3381521	2263756
599	3386678	2257785
600	3395450	2254217
601	3400496	2248168
602	3405645	2242191
603	3410141	2235787
604	3414828	2229515
605	3419914	2223508
606	3424561	2217219
607	3439892	2217825
608	3444635	2211580
609	3451674	2206808
610	3456187	2200420
611	3460405	2193852
612	3465341	2187744
613	3469567	2181194
614	3473977	2174766
615	3483238	2171369
616	3488375	2165393
617	3501262	2164210
618	3507754	2159054
619	3511932	2152474
620	3516941	2146410
621	3522288	2140554
622	3526788	2134188
623	3531646	2128043
624	3535932	2121559
625	3540516	2115260
626	3545607	2109269
627	3549682	2102677
628	3555208	2096951
629	3559244	2090349
630	3563878	2084106
631	3568381	2077791
632	3572735	2071396
633	3577134	2065033
634	3582699	2059346
635	3588320	2053692
636	3593092	2047554
637	3604000	2044903
638	3608942	2038854
639	3616734	2034413
640	3622285	2028705
641	3627519	2022822
642	3632004	2016524
643	3637316	2010690
644	3642631	2004859
645	3646988	1998504
646	3660238	1997008
647	3667730	1992347
648	3672323	1986110
649	3680111	1981598
650	3686898	1976540
651	3692765	1970985
652	3698492	1965355
653	3703306	1959241
654	3710194	1954224
655	3714270	1947727
656	3719489	1941834
657	3723744	1935441
658	3728138	1929127
659	3732646	1922878
660	3737108	1916610
661	3741381	1910252
662	3746090	1904121
663	3750709	1897949
664	3755544	1891890
665	3759755	1885523
666	3764200	1879278
667	3768863	1873147
668	3775458	1867977
669	3780604	1862088
670	3786204	1856425
671	3794273	1851966
672	3804821	1848702
673	3813767	1844641
674	3819468	1839003
675	3824757	1833167
676	3830388	1827496
677	3834766	1821231
678	3838751	1814785
679	3842914	1808430
680	3848162	1802589
681	3852568	1796359
682	3857335	1790300
683	3861538	1783985
684	3865942	1777769
685	3870787	1771759
686	3886152	1770547
687	3891998	1764976
688	3896360	1758734
689	3900951	1752601
690	3905624	1746509
691	3910075	1740322
692	3923070	1737925
693	3927293	1731630
694	3931826	1725477
695	3936221	1719269
696	3942733	1713985
697	3947568	1707973
698	3952790	1702131
699	3959377	1696875
700	3963994	1690776
701	3969828	1685197
702	3977407	1680355
703	3982129	1674304
704	3986440	1668084
705	3990796	1661889
706	3995942	1656027
707	4000405	1649884
708	4010827	1646193
709	4017507	1640953
710	4021988	1634816
711	4026538	1628712
712	4030876	1622526
713	4039327	1617993
714	4044116	1611990
715	4048796	1605947
716	4054106	1600156
717	4059327	1594331
718	4063954	1588276
719	4068298	1582116
720	4073033	1576111
721	4077598	1570045
722	4082618	1564156
723	4086789	1557947
724	4091972	1552127
725	4096345	1546003
726	4100975	1539981
727	4111395	1536125
728	4115550	1529923
729	4121111	1524246
730	4133471	1521072
731	4140647	1515974
732	4147552	1510772
733	4151876	1504630
734	4157747	1499051
735	4163196	1493320
736	4167694	1487250
737	4172247	1481204
738	4176713	1475131
739	4184565	1470252
740	4193377	1465701
741	4198448	1459837
742	4203327	1453910
743	4208095	1447946
744	4212322	1441801
745	4217577	1436011
746	4222063	1429962
747	4228310	1424511
748	4232724	1418442
749	4238354	1412784
750	4242989	1406796
751	4247409	1400741
752	4252985	1395069
753	4262435	1390661
754	4266997	1384654
755	4271888	1378757
756	4276079	1372638
757	4280619	1366635
758	4284887	1360550
759	4289573	1354602
760	4294731	1348805
761	4298965	1342721
762	4304333	1336994
763	4310373	1331476
764	4315513	1325680
765	4321536	1320155
766	4327078	1314484
767	4332639	1308818
768	4337486	1302937
769	4343340	1297361
770	4347394	1291249
771	4354456	1286031
772	4359125	1280105
773	4363393	1274065
774	4367798	1268070
775	4372806	1262253
776	4377190	1256259
777	4384772	1251181
778	4389208	1245205
779	4396690	1240092
780	4402495	1234502
781	4407269	1228625
782	4411764	1222672
783	4416065	1216671
784	4420585	1210733
785	4427859	1205549
786	4436006	1200596
787	4441700	1194975
788	4446682	1189163
789	4450872	1183143
790	4455809	1177325
791	4461745	1171771
792	4466710	1165963
793	4473806	1160710
794	4478291	1154779
795	4482591	1148804
796	4486598	1142759
797	4491384	1136916
798	4495962	1131024
799	4500655	1125163
800	4504892	1119193
801	4509380	1113288
802	4513937	1107404
803	4518692	1101571
804	4524130	1095907
805	4530432	1090451
806	4535483	1084694
807	4539756	1078754
808	4546941	1073505
809	4555462	1068565
810	4561848	1063118
811	4566266	1057214
812	4574926	1052289
813	4579221	1046357
814	4583716	1040475
815	4587900	1034526
816	4592679	1028715
817	4598857	1023217
818	4604055	1017501
819	4608882	1011706
820	4614045	1005985
821	4619757	1000385
822	4625882	994873
823	4635912	990194
824	4640419	984331
825	4645370	978564
826	4649951	972722
827	4654583	966894
828	4659126	961050
829	4663809	955238
830	4668822	949495
831	4676223	944237
832	4682393	938727
833	4690943	933688
834	4695622	927877
835	4700170	922043
836	4704582	916185
837	4713552	911211
838	4718827	905520
839	4723040	899626
840	4734663	895138
841	4739869	889429
842	4744725	883655
843	4752783	878476
844	4757990	872767
845	4763109	867043
846	4768107	861299
847	4772371	855425
848	4776825	849588
849	4781612	843813
850	4787507	838235
851	4791902	832396
852	4796863	826657
853	4807621	821911
854	4811594	816001
855	4817290	810385
856	4822044	804611
857	4827864	799017
858	4833107	793327
859	4842273	788277
860	4849745	782943
861	4856540	777497
862	4861272	771720
863	4865842	765919
864	4871189	760243
865	4875881	754466
866	4880231	748639
867	4884871	742860
868	4900291	738709
869	4905542	733012
870	4910025	727202
871	4914667	721419
872	4918709	715551
873	4922932	709713
874	4927161	703880
875	4931859	698117
876	4938422	692617
877	4942739	686804
878	4947106	681000
879	4956264	675854
880	4960478	670030
881	4965159	664272
882	4969747	658505
883	4979798	653457
884	4984702	647729
885	4989622	642005
886	4995672	636427
887	5001136	630773
888	5007882	625281
889	5013151	619603
890	5018519	613937
891	5023246	608195
892	5028506	602519
893	5032990	596752
894	5039518	591228
895	5044109	585476
896	5048548	579710
897	5055661	574251
898	5060076	568484
899	5070623	563402
900	5079834	558161
901	5084286	552394
902	5088718	546628
903	5093399	540891
904	5098526	535204
905	5104358	529591
906	5111964	524159
907	5116325	518394
908	5120443	512607
909	5124845	506852
910	5132271	501396
911	5136917	495667
912	5141337	489919
913	5147030	484293
914	5152052	478605
915	5157955	473000
916	5166841	467663
917	5171555	461947
918	5175866	456197
919	5180960	450518
920	5185084	444757
921	5189260	439004
922	5194197	433318
923	5206952	428277
924	5213747	422736
925	5220308	417173
926	5227875	411688
927	5233693	406062
928	5239092	400404
929	5244678	394760
930	5249748	389079
931	5254784	383396
932	5262856	377932
933	5269984	372397
934	5274307	366663
935	5282690	361209
936	5287291	355495
937	5291784	349776
938	5297354	344130
939	5311762	339048
940	5316340	333330
941	5321165	327630
942	5325121	321879
943	5330986	316244
944	5337346	310639
945	5345109	305111
946	5350835	299466
947	5358121	293905
948	5362234	288170
949	5367260	282487
950	5371737	276777
951	5376559	271087
952	5381270	265393
953	5386998	259750
954	5391478	254048
955	5395915	248347
956	5401513	242701
957	5406115	237011
958	5410838	231328
959	5415824	225659
960	5420808	219991
961	5425021	214293
962	5429444	208607
963	5439788	203145
964	5445921	197520
965	5461249	192217
966	5465801	186526
967	5469797	180819
968	5474176	175128
969	5478491	169437
970	5482740	163748
971	5488577	158107
972	5493537	152441
973	5498082	146766
974	5502236	141082
975	5509723	135485
976	5514596	129821
977	5519530	124161
978	5524795	118509
979	5531202	112881
980	5539447	107287
981	5543509	101612
982	5548798	95960
983	5552997	90292
984	5558137	84641
985	5562424	78979
986	5567541	73331
987	5572059	67676
988	5576778	62026
989	5583234	56396
990	5588085	50749
991	5593272	45107
992	5606061	39519
993	5613905	33886
994	5618974	28236
995	5622670	22581
996	5627410	16933
997	5639571	11301
998	5644698	5650
999	5648960	0
